Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,7/22/11,10381
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,7/22/11,10382
Summit Bank,Prescott,AZ,57442,The Foothills Bank,7/15/11,10379
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",7/15/11,10376
High Trust Bank,Stockbridge,GA,19554,Ameris Bank,7/15/11,10377
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,7/15/11,10378
Signature Bank,Windsor,CO,57835,Points West Community Bank,7/8/11,10375
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,7/8/11,10373
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,7/8/11,10374
Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,6/24/11,10372
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,6/17/11,10370
McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,6/17/11,10371
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",6/3/11,10369
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,5/27/11,10368
Summit Bank,Burlington,WA,513,Columbia State Bank,5/20/11,10367
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",5/20/11,10366
Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",5/20/11,10365
Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",5/6/11,10364
Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,4/29/11,10359
The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,4/29/11,10363
First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,4/29/11,10361
Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",4/29/11,10360
First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",4/29/11,10362
Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,4/15/11,10354
Rosemount National Bank,Rosemount,MN,24099,Central Bank,4/15/11,10357
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",4/15/11,10358
Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,4/15/11,10356
New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,4/15/11,10355
Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,4/15/11,10353
Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,4/8/11,10351
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,4/8/11,10352
